"Address Line 1",City,State,Zip,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"125 AIRPORT PARKWAY, SUITE 140",GREENWOOD,IN,46143,39.616085,-86.089499,1,range_interpolation,125,"Airport Pkwy",Ste,140,Greenwood,IN,"Johnson County",46143,US,"TIGER/Line® dataset from the US Census Bureau"
"5454 HOHMAN AVENUE",HAMMOND,IN,46320,41.615432,-87.52247,1,rooftop,5454,"Hohman Ave",,,Hammond,IN,"Lake County",46320,US,Lake
"602 SAWYER ROAD",KENDALLVILLE,IN,46755,41.449783,-85.292651,1,rooftop,602,"Sawyer Rd",,,Kendallville,IN,"Noble County",46755,US,Statewide
"851 W. BURRELL ST.","CROWN POINT",IN,46307,41.390293,-87.377398,1,rooftop,851,"W Burrell Dr",,,"Crown Point",IN,"Lake County",46307,US,Lake
"1594 E MAIN STREET",DANVILLE,IN,46122,39.761936,-86.494257,1,rooftop,1594,"E Main St",,,Danville,IN,"Hendricks County",46122,US,Statewide
"972 EMERSON PARKWAY, SUITE E",GREENWOOD,IN,46143,39.6305,-86.084177,1,rooftop,972,"Emerson Parke A",Ste,E,Greenwood,IN,"Johnson County",46143,US,Statewide
"5823 US HWY 6",PORTAGE,IN,46368,41.550365,-87.188753,1,range_interpolation,5823,"US Hwy 6",,,Portage,IN,"Porter County",46368,US,"TIGER/Line® dataset from the US Census Bureau"
"365 QUARTER MASTER COURT",JEFFERSONVILLE,IN,47130,38.283732,-85.739386,1,rooftop,365,"Quartermaster Ct",,,Jeffersonville,IN,"Clark County",47130,US,Statewide
"820 E MCGALLIARD",MUNCIE,IN,47303,40.220362,-85.378284,1,rooftop,820,"E McGalliard Rd",,,Muncie,IN,"Delaware County",47303,US,Delaware
"3007 DR ANDREW J BROWN AVENUE",INDIANAPOLIS,IN,46205,39.810772,-86.135468,1,range_interpolation,3007,"Dr Andrew J Brown Ave",,,Indianapolis,IN,"Marion County",46205,US,"TIGER/Line® dataset from the US Census Bureau"
"816 119TH ST.",WHITING,IN,46394,41.67904,-87.507955,1,range_interpolation,816,"119th St",,,Whiting,IN,"Lake County",46394,US,"TIGER/Line® dataset from the US Census Bureau"
"1051 NORTH STATE STREET",GREENFIELD,IN,46140,39.797797,-85.768969,1,rooftop,1051,"N State St",,,Greenfield,IN,"Hancock County",46140,US,Statewide
"721 RUDOLPH WAY",GREENDALE,IN,47025,39.106893,-84.854302,1,rooftop,721,"Rudolph Way",,,Greendale,IN,"Dearborn County",47025,US,Statewide
"101 EMERSON AVENUE","NEW CASTLE",IN,47362,39.937488,-85.379346,1,range_interpolation,101,"Emerson Ave",,,"New Castle",IN,"Henry County",47362,US,"TIGER/Line® dataset from the US Census Bureau"
"103 WEST 18TH STREET","LA PORTE",IN,46350,41.591546,-86.720985,1,range_interpolation,103,"W 18th St",,,"La Porte",IN,"LaPorte County",46350,US,"TIGER/Line® dataset from the US Census Bureau"
"1159 WEST JEFFERSON ST., SUITE 201",FRANKLIN,IN,46131,39.479798,-86.074385,1,range_interpolation,1159,"W Jefferson St",Ste,201,Franklin,IN,"Johnson County",46131,US,"TIGER/Line® dataset from the US Census Bureau"
"7155 SHADELAND STATION STE 130",INDIANAPOLIS,IN,46256,39.884546,-86.041729,1,rooftop,7155,"Shadeland Sta",Ste,130,Indianapolis,IN,"Marion County",46256,US,Statewide
"710 PARK PLACE",MISHAWAKA,IN,46545,41.695401,-86.173943,1,rooftop,710,"Park Pl",,,Mishawaka,IN,"St. Joseph County",46545,US,"St Joseph"
"1020 N 18TH STREET",LAFAYETTE,IN,47904,40.42754,-86.878241,1,rooftop,1020,"N 18th St",,,Lafayette,IN,"Tippecanoe County",47904,US,Tippecanoe
"4320 FIR STREET SUITE 404","EAST CHICAGO",IN,46312,41.635366,-87.44862,1,range_interpolation,4320,"Fir St",Unit,404,"East Chicago",IN,"Lake County",46312,US,"TIGER/Line® dataset from the US Census Bureau"
"711 PLAZA DRIVE, SUITE 6",PORTER,IN,46304,41.61713,-87.044756,1,range_interpolation,711,"Plaza Dr",Ste,6,Chesterton,IN,"Porter County",46304,US,"TIGER/Line® dataset from the US Census Bureau"
"13648 OLIVIA WAY",FISHERS,IN,46037,39.990316,-85.919609,1,rooftop,13648,"Olivia Way",,,Fishers,IN,"Hamilton County",46037,US,Hamilton
"9140 HARRISON PARK DRIVE",INDIANAPOLIS,IN,46216,39.853085,-86.008428,1,rooftop,9140,"Harrison Park Dr",,,Indianapolis,IN,"Marion County",46216,US,Statewide
"5660 NIMTZ PKWY","SOUTH BEND",IN,46628,41.72765,-86.328068,1,rooftop,5660,"Nimtz Pkwy",,,"South Bend",IN,"St. Joseph County",46628,US,"St Joseph"
"3727 N FRONTAGE ROAD","MICHIGAN CITY",IN,46360,41.66472,-86.89254,1,range_interpolation,3727,"N Frontage Rd N",,,"Michigan City",IN,"LaPorte County",46360,US,"TIGER/Line® dataset from the US Census Bureau"
"419 CLIFTY DRIVE",MADISON,IN,47250,38.774542,-85.395171,1,rooftop,419,"Clifty Dr",,,Madison,IN,"Jefferson County",47250,US,Statewide
"6488 CORPORATE DRIVE",INDIANAPOLIS,IN,46268,39.874148,-86.265551,0.9,rooftop,6488,"Corporate Dr",,,Indianapolis,IN,"Marion County",46278,US,"Marion County"
"1100 SOUTH MAIN STREET",BLUFFTON,IN,46714,40.728603,-85.170768,1,rooftop,1100,"S Main St",,,Bluffton,IN,"Wells County",46714,US,Statewide
"3749 COMMERCIAL DR.",INDIANAPOLIS,IN,46222,39.82317,-86.227224,1,rooftop,3749,"Commercial Dr",,,Indianapolis,IN,"Marion County",46222,US,"Marion County"
"1218 NORTH PENNSYLVANIA STREET",INDIANAPOLIS,IN,46202,39.783676,-86.156044,1,rooftop,1218,"N Pennsylvania St",,,Indianapolis,IN,"Marion County",46202,US,Statewide
"807 TALAINA PLACE","NEW ALBANY",IN,47150,38.338043,-85.81623,0.81,nearest_rooftop_match,801,"Talaina Pl",,,"New Albany",IN,"Floyd County",47150,US,Statewide
"3290 GRANT STREET",GARY,IN,46408,41.560605,-87.356131,1,range_interpolation,3290,"Grant St",,,Gary,IN,"Lake County",46408,US,"TIGER/Line® dataset from the US Census Bureau"
"118 MEDICAL DRIVE, SUITE 114",CARMEL,IN,46032,39.959483,-86.125452,1,rooftop,118,"Medical Dr",Ste,114,Carmel,IN,"Hamilton County",46032,US,Hamilton
"999 N. MICHIGAN AVE.",GREENSBURG,IN,47240,39.346362,-85.495566,1,range_interpolation,999,"N Michigan Ave",,,Greensburg,IN,"Decatur County",47240,US,"TIGER/Line® dataset from the US Census Bureau"
"1208 N ARLINGTON AVE",INDIANAPOLIS,IN,46219,39.784479,-86.064418,1,range_interpolation,1208,"N Arlington Ave",,,Indianapolis,IN,"Marion County",46219,US,"TIGER/Line® dataset from the US Census Bureau"
"25 WEST 2ND STREET",PERU,IN,46970,40.751554,-86.068668,1,range_interpolation,25,"W 2nd St",,,Peru,IN,"Miami County",46970,US,"TIGER/Line® dataset from the US Census Bureau"
"1420 N. SENATE AVE., SUITE B",INDIANAPOLIS,IN,46202,39.786759,-86.1637,1,rooftop,1420,"N Senate Ave",Ste,B,Indianapolis,IN,"Marion County",46202,US,Statewide
"9101 N. WESLEYAN RD, SUITE 115",INDIANAPOLIS,IN,46268,39.918923,-86.223379,1,rooftop,9101,"Wesleyan Rd",Ste,115,Indianapolis,IN,"Marion County",46268,US,Statewide
"700 WATERBURY PARK DRIVE",ELKHART,IN,46517,41.65135,-85.955665,1,range_interpolation,700,"Waterbury Park Dr",,,Elkhart,IN,"Elkhart County",46517,US,"TIGER/Line® dataset from the US Census Bureau"
"4311 HWY 261, SUITE A",NEWBURGH,IN,47630,37.972275,-87.394829,0.7,rooftop,4311,"S Old Sr 261",Ste,261,Newburgh,IN,"Warrick County",47630,US,Statewide
"351 MAIDEN LANE","TERRE HAUTE",IN,47804,39.486825,-87.413148,1,rooftop,351,"Maiden Ln",,,"Terre Haute",IN,"Vigo County",47804,US,Statewide
"10033 WICKER AVE","SAINT JOHN",IN,46373,41.438528,-87.46984,1,range_interpolation,10033,"Wicker Ave",,,"Saint John",IN,"Lake County",46373,US,"TIGER/Line® dataset from the US Census Bureau"
"6059 BROADWAY",MERRILLVILLE,IN,46410,41.507909,-87.335914,1,range_interpolation,6059,Broadway,,,Merrillville,IN,"Lake County",46410,US,"TIGER/Line® dataset from the US Census Bureau"
"1406 EAST LINCOLNWAY","LA PORTE",IN,46350,41.623402,-86.691209,1,rooftop,1406,"E Lincolnway",,,"La Porte",IN,"LaPorte County",46350,US,Statewide
"12400 NORTH MERIDIAN ST., STE 200",CARMEL,IN,46032,39.970172,-86.159205,1,rooftop,12400,"N Meridian St",Ste,200,Carmel,IN,"Hamilton County",46032,US,Hamilton
"13295 ILLINOIS ST.",CARMEL,IN,46032,39.978864,-86.157899,1,rooftop,13295,"Illinois St",,,Carmel,IN,"Hamilton County",46032,US,Hamilton
"2500 PARKWAY DR.",SHELBYVILLE,IN,46176,39.517272,-85.742089,1,rooftop,2500,"Parkway Dr",,,Shelbyville,IN,"Shelby County",46176,US,Statewide
"1815 JACKSON ST.",ANDERSON,IN,46016,40.097751,-85.680899,1,rooftop,1815,"Jackson St",,,Anderson,IN,"Madison County",46016,US,Madison
"7836 W. JEFFERSON BLVD.,  SUITE LL10","FORT WAYNE",IN,46804,41.039773,-85.247092,1,rooftop,7836,"W Jefferson Blvd",Ste,LL10,"Fort Wayne",IN,"Allen County",46804,US,Allen
"4021 WEST KILGORE AVE.",MUNCIE,IN,47304,40.180509,-85.433301,1,rooftop,4021,"W Kilgore Ave",,,Muncie,IN,"Delaware County",47304,US,Delaware
"9223 TAFT STREET",MERRILLVILLE,IN,46410,41.463123,-87.364742,1,range_interpolation,9223,"Taft St",,,Merrillville,IN,"Lake County",46410,US,"TIGER/Line® dataset from the US Census Bureau"
"4350 SOUTH IRONWOOD DR","SOUTH BEND",IN,46614,41.631939,-86.215412,1,range_interpolation,4350,"S Ironwood Dr",,,"South Bend",IN,"St. Joseph County",46614,US,"TIGER/Line® dataset from the US Census Bureau"
"1719 WEST 10TH STREET",INDIANAPOLIS,IN,46222,39.780127,-86.192757,1,rooftop,1719,"W 10th St",,,Indianapolis,IN,"Marion County",46222,US,Statewide
"817 S 13TH ST",DECATUR,IN,46733,40.821567,-84.936185,1,rooftop,817,"S 13th St",,,Decatur,IN,"Adams County",46733,US,Adams
"705 RILEY HOSPITAL DRIVE",INDIANAPOLIS,IN,46202,39.77739,-86.180092,1,rooftop,705,"Riley Hospital Dr",,,Indianapolis,IN,"Marion County",46202,US,Statewide
"3760 S. REED ROAD",KOKOMO,IN,46902,40.442835,-86.124723,1,range_interpolation,3760,"S Reed Rd",,,Kokomo,IN,"Howard County",46902,US,"TIGER/Line® dataset from the US Census Bureau"
"2227 SHERMAN DRIVE",PRINCETON,IN,47670,38.359855,-87.59614,1,rooftop,2227,"Sherman Dr",,,Princeton,IN,"Gibson County",47670,US,Statewide
"800 N. MAIN ST.",EVANSVILLE,IN,47711,37.985201,-87.564152,1,rooftop,800,"N Main St",,,Evansville,IN,"Vanderburgh County",47711,US,"City of Evansville"
"528 N GRANDSTAFF DRIVE",AUBURN,IN,46706,41.370296,-85.069178,1,rooftop,528,"N Grandstaff Dr",,,Auburn,IN,"DeKalb County",46706,US,Statewide
"810 EASTERN BLVD",CLARKSVILLE,IN,47129,38.302151,-85.761809,1,rooftop,810,"Eastern Blvd",,,Clarksville,IN,"Clark County",47129,US,Statewide
"606 E LINCOLNWAY",VALPARAISO,IN,46383,41.467632,-87.053713,1,range_interpolation,606,"E Lincolnway",,,Valparaiso,IN,"Porter County",46383,US,"TIGER/Line® dataset from the US Census Bureau"
"810 S 6TH STREET, STE I",MONTICELLO,IN,47960,40.754287,-86.775367,0.9,range_interpolation,810,"N 6th St",Ste,I,Monticello,IN,"White County",47960,US,"TIGER/Line® dataset from the US Census Bureau"
"11 CRANE AVENUE",SPENCER,IN,47460,39.28685,-86.752716,0.9,rooftop,11,"N Crane Ave",,,Spencer,IN,"Owen County",47460,US,Statewide
"316 MEDIC WAY",GREENCASTLE,IN,46135,39.618397,-86.847691,1,range_interpolation,316,"Medic Way",,,Greencastle,IN,"Putnam County",46135,US,"TIGER/Line® dataset from the US Census Bureau"
"4802 BROADWAY",GARY,IN,46408,41.531257,-87.336383,1,range_interpolation,4802,Broadway,,,Gary,IN,"Lake County",46408,US,"TIGER/Line® dataset from the US Census Bureau"
"3233 EAST COLISEUM BLVD.","FORT WAYNE",IN,46805,41.109523,-85.0985,0.9,rooftop,3233,"E Coliseum Blvd",,,"Fort Wayne",IN,"Allen County",46815,US,Allen
"8803 N. MERIDIAN STREET",INDIANAPOLIS,IN,46260,39.916445,-86.155806,1,rooftop,8803,"N Meridian St",,,Indianapolis,IN,"Marion County",46260,US,Statewide
"1619 W. MCCLAIN AVE.",SCOTTSBURG,IN,47170,38.684453,-85.796748,0.82,nearest_rooftop_match,1621,"W McClain Ave",,,Scottsburg,IN,"Scott County",47170,US,Statewide
"314 RIDGE ROAD",MUNSTER,IN,46321,41.561805,-87.520144,1,rooftop,314,"Ridge Rd",,,Munster,IN,"Lake County",46321,US,Lake
"300 NORTH 1ST",VINCENNES,IN,47591,38.682486,-87.530209,1,rooftop,300,"N 1st St",,,Vincennes,IN,"Knox County",47591,US,Statewide
"1312 PROFESSIONAL BOULEVARD SUITE 100",EVANSVILLE,IN,47714,37.957251,-87.499749,1,rooftop,1312,"Professional Blvd",Ste,100,Evansville,IN,"Vanderburgh County",47714,US,"City of Evansville"
"2 EXECUTIVE DRIVE, SUITE B",LAFAYETTE,IN,47905,40.418297,-86.844278,1,rooftop,2,"Executive Dr",Ste,B,Lafayette,IN,"Tippecanoe County",47905,US,Tippecanoe
"10204 EAST DUPONT CIRCLE DRIVE","FORT WAYNE",IN,46825,41.176716,-85.107163,0.6,rooftop,10204,"Dupont Circle Dr E",,,"Fort Wayne",IN,"Allen County",46825,US,Allen
"124 EAST NORTHFIELD DRIVE",BROWNSBURG,IN,46112,39.857368,-86.389744,1,range_interpolation,124,"E Northfield Dr",,,Brownsburg,IN,"Hendricks County",46112,US,"TIGER/Line® dataset from the US Census Bureau"
"3001 NORTH GRANVILLE AVE.",MUNCIE,IN,47303,40.217627,-85.376284,1,rooftop,3001,"N Granville Ave",,,Muncie,IN,"Delaware County",47303,US,Delaware
"130 WESTAVIA BLVD",SCOTTSBURG,IN,47170,38.686912,-85.801583,0.9,rooftop,130,"N Westavia Blvd",,,Scottsburg,IN,"Scott County",47170,US,Statewide
"1705 W. 25TH AVE, SUITE 101",GARY,IN,46404,41.57316,-87.357566,1,range_interpolation,1705,"W 25th Ave",Ste,101,Gary,IN,"Lake County",46404,US,"TIGER/Line® dataset from the US Census Bureau"
"7 SIBLEY STREET",HAMMOND,IN,46320,41.620859,-87.524417,1,rooftop,7,"Sibley St",,,Hammond,IN,"Lake County",46320,US,Lake
"1008 S EDGEWOOD DRIVE",KNOX,IN,46534,41.286764,-86.612877,1,range_interpolation,1008,"Edgewood Dr",,,Knox,IN,"Starke County",46534,US,"TIGER/Line® dataset from the US Census Bureau"
"165 SHERIDAN ROAD",NOBLESVILLE,IN,46060,40.047896,-86.02592,0.9,rooftop,165,"Sheridan Rd",,,Noblesville,IN,"Hamilton County",46062,US,Hamilton
"2669 CHARLESTOWN RD., SUITE F","NEW ALBANY",IN,47150,38.319463,-85.803272,1,range_interpolation,2669,"Charlestown Rd",Ste,F,"New Albany",IN,"Floyd County",47150,US,"TIGER/Line® dataset from the US Census Bureau"
"310 NE 14TH STREET",WASHINGTON,IN,47501,38.659563,-87.158594,1,range_interpolation,310,"NE 14th St",,,Washington,IN,"Daviess County",47501,US,"TIGER/Line® dataset from the US Census Bureau"
"2636 W. MICHIGAN ST.",INDIANAPOLIS,IN,46222,39.775569,-86.204802,1,rooftop,2636,"W Michigan St",,,Indianapolis,IN,"Marion County",46222,US,Statewide
"200 EAST 80TH PLACE SUITE 2",MERRILLVILLE,IN,46410,41.47394,-87.334113,1,rooftop,200,"E 80th Pl",Ste,2,Merrillville,IN,"Lake County",46410,US,Lake
"940 CHESTER BLVD.",RICHMOND,IN,47374,39.840178,-84.890107,1,rooftop,940,"Chester Blvd",,,Richmond,IN,"Wayne County",47374,US,Wayne
"1602 MAIN ST","TELL CITY",IN,47586,37.964404,-86.769589,1,range_interpolation,1602,"Main St",,,"Tell City",IN,"Perry County",47586,US,"TIGER/Line® dataset from the US Census Bureau"
"9836 W. 400 N.","MICHIGAN CITY",IN,46360,41.665994,-86.890795,0.9,range_interpolation,9836,"W 400 N",,,"Michigan City",IN,"LaPorte County",46360,US,"TIGER/Line® dataset from the US Census Bureau"
"7214 CALUMET AVENUE",HAMMOND,IN,46324,41.58254,-87.509154,1,range_interpolation,7214,"Calumet Ave",,,Hammond,IN,"Lake County",46324,US,"TIGER/Line® dataset from the US Census Bureau"
"1144 WEST 15TH STREET",AUBURN,IN,46706,41.362515,-85.067111,1,range_interpolation,1144,"W 15th St",,,Auburn,IN,"DeKalb County",46706,US,"TIGER/Line® dataset from the US Census Bureau"
"9210 ROCKVILLE ROAD, STE D",INDIANAPOLIS,IN,46234,39.76442,-86.32526,1,rooftop,9210,"Rockville Rd",Ste,,Indianapolis,IN,"Marion County",46234,US,"Marion County"
"1705 E INDUSTRIAL DRIVE","TERRE HAUTE",IN,47802,39.345403,-87.389422,1,rooftop,1705,"E Industrial Dr",,,"Terre Haute",IN,"Vigo County",47802,US,Statewide
"250 E. DAY ROAD, SUITE 300",MISHAWAKA,IN,46545,41.698404,-86.180407,1,range_interpolation,250,"E Day Rd",Ste,300,Mishawaka,IN,"St. Joseph County",46545,US,"TIGER/Line® dataset from the US Census Bureau"
"700 WILLOW STREET, STE 101",VINCENNES,IN,47591,38.671791,-87.535161,1,rooftop,700,"Willow St",Ste,101,Vincennes,IN,"Knox County",47591,US,Statewide
"8110 NETWORK DRIVE",PLAINFIELD,IN,46168,39.652093,-86.378419,1,rooftop,8110,"Network Dr",,,Plainfield,IN,"Hendricks County",46168,US,Statewide
"349 W. 80TH PL.",MERRILLVILLE,IN,46410,41.472691,-87.339835,0.9,rooftop,349,"W 80th Pl",,,Merrillville,IN,"Lake County",46411,US,Lake
"2910 MONROE ST","LA PORTE",IN,46350,41.600797,-86.692557,1,range_interpolation,2910,"Monroe St",,,"La Porte",IN,"LaPorte County",46350,US,"TIGER/Line® dataset from the US Census Bureau"
"1350 E COUNTY LINE RD SUITE L",INDIANAPOLIS,IN,46227,39.63559,-86.138398,1,range_interpolation,1350,"E County Line Rd",Ste,L,Indianapolis,IN,"Marion County",46227,US,"TIGER/Line® dataset from the US Census Bureau"
"1797 WEST KEM ROAD",MARION,IN,46952,40.574432,-85.681976,1,range_interpolation,1797,"W Kem Rd",,,Marion,IN,"Grant County",46952,US,"TIGER/Line® dataset from the US Census Bureau"
"1833 MAGNAVOX WAY","FORT WAYNE",IN,46804,41.068509,-85.221703,1,rooftop,1833,"Magnavox Way",,,"Fort Wayne",IN,"Allen County",46804,US,Allen
"1740 INDUSTRY DRIVE",INDIANAPOLIS,IN,46219,39.782841,-86.081084,0.33,place,,,,,Indianapolis,IN,"Marion County",46219,US,"TIGER/Line® dataset from the US Census Bureau"
"2150 GETTLER STREET, SUITE 105",DYER,IN,46311,41.492673,-87.52306,1,range_interpolation,2150,"Gettler St",Ste,105,Dyer,IN,"Lake County",46311,US,"TIGER/Line® dataset from the US Census Bureau"
"115 S. MURPHY AVENUE",BRAZIL,IN,47834,39.524336,-87.109222,1,rooftop,115,"S Murphy Ave",,,Brazil,IN,"Clay County",47834,US,Statewide
"700 WILLOW ST  SUITE 102",VINCENNES,IN,47591,38.671791,-87.535161,1,rooftop,700,"Willow St",Ste,102,Vincennes,IN,"Knox County",47591,US,Statewide
"220 W 2ND ST",GOODLAND,KS,67735,39.359027,-101.71466,1,rooftop,220,"W 2nd St",,,Goodland,KS,"Sherman County",67735,US,Statewide
"6740 W 121ST ST SUITE 100","OVERLAND PARK",KS,66209,38.907226,-94.663981,1,rooftop,6740,"W 121st St",Ste,100,Leawood,KS,"Johnson County",66209,US,"City of Olathe"
"801 W. MYRTLE",INDEPENDENCE,KS,67301,37.224236,-95.716398,1,rooftop,801,"W Myrtle St",,,Independence,KS,"Montgomery County",67301,US,Statewide
"750 N SOCORA",WICHITA,KS,67212,37.695898,-97.436249,0.6,rooftop,750,"N Socora St",,,Wichita,KS,"Sedgwick County",67212,US,"City of Wichita"
"328 E MAIN ST",GARDNER,KS,66030,38.811471,-94.921321,1,rooftop,328,"E Main St",,,Gardner,KS,"Johnson County",66030,US,"City of Olathe"
"501 OAK ST",LEAVENWORTH,KS,66048,39.314583,-94.914921,1,rooftop,501,"Oak St",,,Leavenworth,KS,"Leavenworth County",66048,US,Statewide
"3904 6TH ST","GREAT BEND",KS,67530,38.357163,-98.792148,1,rooftop,3904,"6th St",,,"Great Bend",KS,"Barton County",67530,US,"Barton County"
"250 W RED POWELL DR.",DERBY,KS,67037,37.566517,-97.273789,1,rooftop,250,"W Red Powell Dr",,,Derby,KS,"Sedgwick County",67037,US,"City of Wichita"
"320 N. HILLSIDE",WICHITA,KS,67214,37.691188,-97.298633,1,rooftop,320,"N Hillside Ave",,,Wichita,KS,"Sedgwick County",67214,US,"City of Wichita"
"1602 W 15TH AVE",EMPORIA,KS,66801,38.417085,-96.200394,1,rooftop,1602,"W 15th Ave",,,Emporia,KS,"Lyon County",66801,US,Statewide
"1901 N WALDRON",HUTCHINSON,KS,67502,38.075418,-97.89601,1,rooftop,1901,"N Waldron St",,,Hutchinson,KS,"Reno County",67502,US,Statewide
"12201 W 110TH ST","OVERLAND PARK",KS,66210,38.929723,-94.727262,1,rooftop,12201,"W 110th St",,,"Overland Park",KS,"Johnson County",66210,US,"City of Olathe"
"2852 W 47TH AVE","KANSAS CITY",KS,66103,39.044799,-94.619976,1,rooftop,2852,"W 47th Ave",,,"Kansas City",KS,"Wyandotte County",66103,US,Statewide
"1605 EAST PEORIA ST",PAOLA,KS,66071,38.570336,-94.858209,1,rooftop,1605,"E Peoria St",,,Paola,KS,"Miami County",66071,US,Statewide
"2905 CANTERBURY DR.",HAYS,KS,67601,38.888269,-99.299653,1,rooftop,2905,"Canterbury Dr",,,Hays,KS,"Ellis County",67601,US,Statewide
"204 ROSS BLVD","DODGE CITY",KS,67801,37.787827,-100.020993,0.9,rooftop,204,"W Ross Blvd",,,"Dodge City",KS,"Ford County",67801,US,Statewide
"732 W FRONTIER LANE",OLATHE,KS,66061,38.861148,-94.82813,1,rooftop,732,"W Frontier Ln",,,Olathe,KS,"Johnson County",66061,US,"City of Olathe"
"1616 INDUSTRIAL ROAD STE 2004",EMPORIA,KS,66801,38.416981,-96.215863,1,rooftop,1616,"Industrial Rd",Ste,2004,Emporia,KS,"Lyon County",66801,US,Statewide
"10453 W 84TH TERRACE",LENEXA,KS,66214,38.9752,-94.707347,0.6,rooftop,10453,"W 84th Ter",,,"Overland Park",KS,"Johnson County",66214,US,"City of Lenexa"
"2319 N KANSAS",LIBERAL,KS,67901,37.065643,-100.921228,1,rooftop,2319,"N Kansas Ave",,,Liberal,KS,"Seward County",67901,US,Statewide
"703 S PLUMMER",CHANUTE,KS,66720,37.674177,-95.471453,0.6,rooftop,703,"S Plummer Ave",,,Chanute,KS,"Neosho County",66720,US,Statewide
"106 N 12TH ST.",SABETHA,KS,66534,39.90344,-95.804601,1,range_interpolation,106,"N 12th St",,,Sabetha,KS,"Nemaha County",66534,US,"TIGER/Line® dataset from the US Census Bureau"
"626 S ANDOVER RD SUITE 900",ANDOVER,KS,67002,37.676737,-97.134676,1,rooftop,626,"S Andover Rd",Ste,900,Andover,KS,"Butler County",67002,US,Butler
"4720 RAINBOW BLVD SUITE 200",WESTWOOD,KS,66205,39.042621,-94.612354,1,rooftop,4720,"Rainbow Blvd",Ste,200,Westwood,KS,"Johnson County",66205,US,"City of Olathe"
"10787 NALL AVE #130",LEAWOOD,KS,66211,38.933118,-94.646623,1,rooftop,10787,"Nall Ave",#,130,"Overland Park",KS,"Johnson County",66211,US,"City of Olathe"
"1007 N. EMPORIA",WICHITA,KS,67214,37.701372,-97.333347,1,rooftop,1007,"N Emporia Ave",,,Wichita,KS,"Sedgwick County",67214,US,"City of Wichita"
"8630 HALSEY",LENEXA,KS,66215,38.97238,-94.727844,1,rooftop,8630,"Halsey St",,,Lenexa,KS,"Johnson County",66215,US,"City of Lenexa"
"3931 GAGE CENTER DRIVE",TOPEKA,KS,66604,39.042635,-95.726703,0.9,rooftop,3931,"SW Gage Center Dr",,,Topeka,KS,"Shawnee County",66604,US,Statewide
"3737 STATE AVENUE # 100","KANSAS CITY",KS,66102,39.11613,-94.672771,1,rooftop,3737,"State Ave",#,100,"Kansas City",KS,"Wyandotte County",66102,US,Statewide
"14010 W 134TH PL",OLATHE,KS,66062,38.885191,-94.748118,1,rooftop,14010,"W 134th Pl",,,Olathe,KS,"Johnson County",66062,US,"City of Olathe"
"1812 S SENECA ST SUITE 110",WICHITA,KS,67213,37.661705,-97.352152,1,rooftop,1812,"S Seneca St",Ste,110,Wichita,KS,"Sedgwick County",67213,US,Statewide
"625 MEDICAL CENTER DR.",NEWTON,KS,67114,38.0222,-97.334767,1,rooftop,625,"Medical Center Dr",,,Newton,KS,"Harvey County",67114,US,"Harvey County"
"1315 E. 4TH AVE.",WINFIELD,KS,67156,37.246428,-96.981851,1,rooftop,1315,"E 4th Ave",,,Winfield,KS,"Cowley County",67156,US,"Cowley County"
"11014 HASKELL AVE","KANSAS CITY",KS,66109,39.132016,-94.836064,1,rooftop,11014,"Haskell Ave",,,"Kansas City",KS,"Wyandotte County",66109,US,Statewide
"1100 HIGHLAND DR.",CONCORDIA,KS,66901,39.565563,-97.673506,1,rooftop,1100,"Highland Dr",,,Concordia,KS,"Cloud County",66901,US,Statewide
"2053 E MARY STREET","GARDEN CITY",KS,67846,37.989527,-100.844352,1,range_interpolation,2053,"E Mary St",,,"Garden City",KS,"Finney County",67846,US,"TIGER/Line® dataset from the US Census Bureau"
"2526 S MAIN STREET","FORT SCOTT",KS,66701,37.808358,-94.705172,0.9,range_interpolation,2526,"S Main St",,,"Fort Scott",KS,"Bourbon County",66701,US,"TIGER/Line® dataset from the US Census Bureau"
"FREE STATE DIALYSIS",LAWRENCE,KS,66046,38.939885,-95.269187,0.9,street_center,,"Free State Ln",,,Lawrence,KS,"Douglas County",66047,US,"TIGER/Line® dataset from the US Census Bureau"
"519 MCCALL RD SUITE 100",MANHATTAN,KS,66502,39.190163,-96.549974,1,rooftop,519,"McCall Rd",Ste,100,Manhattan,KS,"Pottawatomie County",66502,US,"Pottawatomie County"
"2308 E KANSAS AVE","GARDEN CITY",KS,67846,37.977172,-100.841252,1,rooftop,2308,"E Kansas Ave",,,"Garden City",KS,"Finney County",67846,US,Statewide
"708 N 18TH ST SOUTH PLAZA",MARYSVILLE,KS,66508,39.847446,-96.635364,1,rooftop,708,"N 18th St",,,Marysville,KS,"Marshall County",66508,US,Statewide
"634 SW MULVANE #300",TOPEKA,KS,66606,39.056443,-95.696916,1,rooftop,634,"SW Mulvane St",Ste,300,Topeka,KS,"Shawnee County",66606,US,"Shawnee County"
"10001 GRADY AVENUE",MAIZE,KS,67101,37.755118,-97.459319,0.9,rooftop,10001,"W Grady Ave",,,Maize,KS,"Sedgwick County",67101,US,"City of Wichita"
"9341 E 21ST N",WICHITA,KS,67206,37.721245,-97.228974,1,rooftop,9341,"E 21st St N",,,Wichita,KS,"Sedgwick County",67206,US,"City of Wichita"
